id,source,matching,destination,type,category,status,ignore
,https://www.springcard.com/fr,exact,/,301,,active,
,https://www.springcard.com/fr/download/applications,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/certifications,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/devdoc,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/drivers,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/hardware-integration,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/n-c,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/sdks,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/software,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/usrdoc,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/utilitaire,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/download/white-papers,exact,/,301,DownloadCategories,active,
,https://www.springcard.com/fr/RFID-NFC-solutions,exact,/solutions/,301,Pages,active,
,https://www.springcard.com/fr/SpringCard-at-Embedded-World,exact,/blog/,301,Pages,active,
,https://www.springcard.com/fr/a-fictional-story-to-help-you-plan-your-contactless-project,exact,/blog/,301,Pages,active,
,https://www.springcard.com/fr/about-us/they-worked-with-us,exact,/a-propos/,301,Pages,active,
,https://www.springcard.com/fr/bluetooth,exact,/solutions/,301,Pages,active,
,https://www.springcard.com/fr/business-developer-cdi-f-h,exact,/a-propos/,301,Pages,active,
,https://www.springcard.com/fr/configure-with-companion,exact,https://tech.springcard.com/,301,Pages,active,
,https://www.springcard.com/fr/contact,exact,/a-propos/#contact,301,Pages,active,
,https://www.springcard.com/fr/copyright,exact,/mentions-legales/,301,Pages,active,
,https://www.springcard.com/fr/developpeur-c-cdi-f-h,exact,/a-propos/,301,Pages,active,
,https://www.springcard.com/fr/device-loan,exact,/,301,Pages,active,
,https://www.springcard.com/fr/device-loan-puck,exact,/,301,Pages,active,
,https://www.springcard.com/fr/disclaimer,exact,/mentions-legales/,301,Pages,active,
,https://www.springcard.com/fr/discover-companion,exact,https://tech.springcard.com/,301,Pages,active,
,https://www.springcard.com/fr/documentation-softwares-for-contactless-readers,exact,https://tech.springcard.com/,301,Pages,active,
,https://www.springcard.com/fr/ev-charging,exact,/solutions/,301,Pages,active,
,https://www.springcard.com/fr/ev-chargingj,exact,/solutions/,301,Pages,active,
,https://www.springcard.com/fr/hello,exact,https://tech.springcard.com/,301,Pages,active,
,https://www.springcard.com/fr/hello/crazywriter-hsp-getting-started-guide,exact,https://tech.springcard.com/,301,Pages,active,
,https://www.springcard.com/fr/hello/h663-usb-module-getting-started-guide,exact,https://tech.springcard.com/,301,Pages,active,
