ancienne_url,nouvelle_url,type,raison
https://www.springcard.com/fr,/,,non catégorisé -> accueil
https://www.springcard.com/fr/download/applications,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/certifications,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/devdoc,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/drivers,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/hardware-integration,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/n-c,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/sdks,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/software,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/usrdoc,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/utilitaire,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/download/white-papers,/,DownloadCategories,section téléchargements pas encore reprise -> accueil
https://www.springcard.com/fr/RFID-NFC-solutions,/solutions/,Pages,correspondance directe
https://www.springcard.com/fr/SpringCard-at-Embedded-World,/blog/,Pages,correspondance directe
https://www.springcard.com/fr/a-fictional-story-to-help-you-plan-your-contactless-project,/blog/,Pages,correspondance directe
https://www.springcard.com/fr/about-us/they-worked-with-us,/a-propos/,Pages,correspondance directe
https://www.springcard.com/fr/bluetooth,/solutions/,Pages,correspondance directe
https://www.springcard.com/fr/business-developer-cdi-f-h,/a-propos/,Pages,correspondance directe
https://www.springcard.com/fr/configure-with-companion,https://tech.springcard.com/,Pages,correspondance directe
https://www.springcard.com/fr/contact,/a-propos/#contact,Pages,correspondance directe
https://www.springcard.com/fr/copyright,/mentions-legales/,Pages,correspondance directe
https://www.springcard.com/fr/developpeur-c-cdi-f-h,/a-propos/,Pages,correspondance directe
https://www.springcard.com/fr/device-loan,/,Pages,aucun équivalent -> accueil (à revoir au cas par cas)
https://www.springcard.com/fr/device-loan-puck,/,Pages,aucun équivalent -> accueil (à revoir au cas par cas)
https://www.springcard.com/fr/disclaimer,/mentions-legales/,Pages,correspondance directe
https://www.springcard.com/fr/discover-companion,https://tech.springcard.com/,Pages,correspondance directe
https://www.springcard.com/fr/documentation-softwares-for-contactless-readers,https://tech.springcard.com/,Pages,correspondance directe
https://www.springcard.com/fr/ev-charging,/solutions/,Pages,correspondance directe
https://www.springcard.com/fr/ev-chargingj,/solutions/,Pages,correspondance directe
https://www.springcard.com/fr/hello,https://tech.springcard.com/,Pages,contenu technique -> tech.springcard.com
https://www.springcard.com/fr/hello/crazywriter-hsp-getting-started-guide,https://tech.springcard.com/,Pages,contenu technique -> tech.springcard.com
https://www.springcard.com/fr/hello/h663-usb-module-getting-started-guide,https://tech.springcard.com/,Pages,contenu technique -> tech.springcard.com
https://www.springcard.com/fr/hello/prox-n-roll-pc-sc-hsp-getting-started-guide,https://tech.springcard.com/,Pages,contenu technique -> tech.springcard.com
https://www.springcard.com/fr/hello/prox-n-roll-rfid-scanner-hsp-getting-started-guide,https://tech.springcard.com/,Pages,contenu technique -> tech.springcard.com
https://www.springcard.com/fr/hello/twistywriter-hsp-getting-started-guide,https://tech.springcard.com/,Pages,contenu technique -> tech.springcard.com
https://www.springcard.com/fr/homepage,/,Pages,correspondance directe
https://www.springcard.com/fr/homepage-copy-1687441501,/,Pages,correspondance directe
https://www.springcard.com/fr/ingenieur-hardware-cdi-f-h,/a-propos/,Pages,correspondance directe
https://www.springcard.com/fr/intern-s-hall-of-fame,/a-propos/,Pages,correspondance directe
https://www.springcard.com/fr/introduction-to-pc-sc-development,https://tech.springcard.com/,Pages,correspondance directe
https://www.springcard.com/fr/iot,/solutions/,Pages,correspondance directe
